hidden_size,output_size,num_layers,learning_rate,batch_size,num_simulations,mse,posterior_mean,posterior_std,squared_errors
64,32,1,0.0001,256,1000,0.1342233270406723,"[-0.994254469871521, -1.001002550125122, -1.0005871057510376, -35.39315414428711, -0.0033159079030156136, -0.012702572159469128, -0.7385939359664917, -1.0140106678009033]","[0.467526912689209, 0.47711285948753357, 0.46750783920288086, 7.045083522796631, 0.46744927763938904, 0.4616785943508148, 0.35172316431999207, 0.4629620909690857]","[0.07385047525167465, 0.10653527826070786, 0.01942877285182476, 0.7905786633491516, 0.012368978932499886, 0.013901015743613243, 0.056927066296339035, 0.00019629881717264652]"
64,32,1,0.0005,64,1000,0.17251114547252655,"[-1.0113266706466675, -1.00285005569458, -0.99870365858078, -35.26723861694336, -0.006276603322476149, -0.1323901116847992, -0.7620895504951477, -1.0624860525131226]","[0.47503241896629333, 0.4646442234516144, 0.4702068269252777, 6.866180896759033, 0.46624287962913513, 0.30204159021377563, 0.3538838028907776, 0.48315665125846863]","[0.08342082798480988, 0.1053326427936554, 0.01890726387500763, 1.0303477048873901, 0.01303629670292139, 0.05644905939698219, 0.06869093328714371, 0.0039045067969709635]"
64,32,1,0.0005,128,1000,0.07130315154790878,"[-1.014736294746399, -0.9942558407783508, -1.0062466859817505, -35.89946746826172, -0.0022112508304417133, -0.17914561927318573, -0.8173832297325134, -1.112829566001892]","[0.47093674540519714, 0.4715866148471832, 0.46415480971336365, 6.7084784507751465, 0.46346622705459595, 0.24919815361499786, 0.3478185832500458, 0.47313743829727173]","[0.08540203422307968, 0.11098501086235046, 0.02103854902088642, 0.14656001329421997, 0.01212448813021183, 0.0808524340391159, 0.10073211789131165, 0.012730510905385017]"
64,32,1,0.0005,256,1000,0.15515251457691193,"[-0.9856826663017273, -0.9990390539169312, -1.009451985359192, -35.32291030883789, -0.026035208255052567, -0.1393718719482422, -0.7063582539558411, -1.037296175956726]","[0.4705037474632263, 0.46454378962516785, 0.4629783034324646, 6.867565155029297, 0.4613379240036011, 0.30785930156707764, 0.3400551676750183, 0.503343403339386]","[0.06926510483026505, 0.10782089084386826, 0.021978657692670822, 0.9204267263412476, 0.0179386418312788, 0.05981539562344551, 0.042583730071783066, 0.0013910047709941864]"
64,32,1,0.001,64,1000,0.18231847882270813,"[-0.999348521232605, -1.0245847702026367, -1.0003423690795898, -35.2165412902832, -0.016698479652404785, -0.09539351612329483, -0.7789487242698669, -1.0378214120864868]","[0.47051721811294556, 0.4739281237125397, 0.46650251746177673, 1.3362884521484375, 0.46956971287727356, 0.23942479491233826, 0.3552968204021454, 0.5030851364135742]","[0.07664509117603302, 0.09169704467058182, 0.019360605627298355, 1.135839581489563, 0.015524781309068203, 0.04023775830864906, 0.07781238853931427, 0.0014304592041298747]"
64,32,1,0.001,128,1000,0.12651607394218445,"[-1.0183385610580444, -1.0106427669525146, -1.007901906967163, -35.479801177978516, 0.0007760158623568714, -0.1268155872821808, -0.8001201748847961, -1.0580497980117798]","[0.46899116039276123, 0.47637274861335754, 0.4587949812412262, 1.1330152750015259, 0.46119990944862366, 0.23210681974887848, 0.3466651141643524, 0.4883456230163574]","[0.08752043545246124, 0.10033512860536575, 0.02152145653963089, 0.6440027952194214, 0.011475548148155212, 0.053831230849027634, 0.09007211774587631, 0.0033697790931910276]"
64,32,1,0.001,256,1000,0.20679017901420593,"[-1.010600209236145, -1.0206063985824585, -0.9798439145088196, -35.131813049316406, 0.014288625679910183, -0.1077178344130516, -0.7921468615531921, -1.0074928998947144]","[0.46820735931396484, 0.475848913192749, 0.46315234899520874, 1.2875192165374756, 0.4605519771575928, 0.2299654334783554, 0.3475010395050049, 0.4875463545322418]","[0.08300171792507172, 0.09412229806184769, 0.014076384715735912, 1.3236180543899536, 0.008763089776039124, 0.04533400386571884, 0.08534979075193405, 5.614354813587852e-05]"
64,32,2,0.0001,64,1000,0.059172555804252625,"[-0.9942622780799866, -1.0031566619873047, -0.995513916015625, -35.8369255065918, -0.002113679889589548, -0.011540303006768227, -0.7282576560974121, -1.0127003192901611]","[0.4565243124961853, 0.46189945936203003, 0.4597862958908081, 1.0767953395843506, 0.4648711383342743, 0.464150071144104, 0.3362969756126404, 0.4593949615955353]","[0.0738547220826149, 0.10513371974229813, 0.018040234223008156, 0.19835758209228516, 0.012103009037673473, 0.013628297485411167, 0.052101556211709976, 0.00016129811410792172]"
64,32,2,0.0001,128,1000,0.05347900465130806,"[-0.9911269545555115, -1.0052598714828491, -0.9960019588470459, -35.88615036010742, -0.0017169156344607472, -0.007106082979589701, -0.7280228734016418, -1.013000726699829]","[0.455906480550766, 0.4611748456954956, 0.46138885617256165, 1.0849930047988892, 0.4648955762386322, 0.4652814567089081, 0.33887702226638794, 0.45808055996894836]","[0.07216043025255203, 0.10377424210309982, 0.01817157492041588, 0.15693378448486328, 0.012015868909657001, 0.012612655758857727, 0.051994431763887405, 0.00016901889466680586]"
64,32,2,0.0001,256,1000,0.1367907077074051,"[-0.9914422035217285, -1.0124398469924927, -1.0021324157714844, -35.37571334838867, 0.0047120871022343636, -0.010399594902992249, -0.7384764552116394, -1.012418508529663]","[0.47318804264068604, 0.472961962223053, 0.46893081068992615, 7.0348663330078125, 0.46728697419166565, 0.46980687975883484, 0.35110047459602356, 0.46361804008483887]","[0.07232989370822906, 0.09919987618923187, 0.01986195333302021, 0.8218976259231567, 0.010647744871675968, 0.013363266363739967, 0.056871019303798676, 0.0001542193494969979]"
64,32,2,0.0005,64,1000,0.047333456575870514,"[-0.987030029296875, -0.9868804812431335, -1.0031182765960693, -36.015987396240234, -0.004803286865353584, -0.07271036505699158, -0.7394161224365234, -0.9989533424377441]","[0.4551185667514801, 0.4665636420249939, 0.4565678536891937, 1.0608960390090942, 0.4653986096382141, 0.24344612658023834, 0.3457496762275696, 0.4644126296043396]","[0.06997612118721008, 0.11595351994037628, 0.02014080435037613, 0.070921890437603, 0.012702031061053276, 0.031652096658945084, 0.05732008069753647, 1.0954920526273781e-06]"
64,32,2,0.0005,128,1000,0.04826849699020386,"[-0.9889570474624634, -0.9958973526954651, -1.0036935806274414, -35.9972038269043, 0.00463502062484622, -0.059889376163482666, -0.7562926411628723, -1.0081779956817627]","[0.4636029899120331, 0.47076791524887085, 0.46467339992523193, 1.0220938920974731, 0.4676344692707062, 0.24394387006759644, 0.3466043174266815, 0.4581676125526428]","[0.07099934667348862, 0.10989398509263992, 0.020304428413510323, 0.08127927780151367, 0.010663656517863274, 0.02725449949502945, 0.06568592041730881, 6.687961285933852e-05]"
64,32,2,0.0005,256,1000,0.046651631593704224,"[-0.9883601665496826, -0.9963939189910889, -1.009576439857483, -35.975868225097656, 0.00016943665104918182, -0.0363614559173584, -0.713001549243927, -0.9940154552459717]","[0.4615877568721771, 0.4635013937950134, 0.46297457814216614, 1.0132009983062744, 0.4652365446090698, 0.3077074885368347, 0.3478260636329651, 0.45620593428611755]","[0.0706816166639328, 0.10956500470638275, 0.02201557531952858, 0.09389984607696533, 0.011605875566601753, 0.020039644092321396, 0.04536965861916542, 3.581477722036652e-05]"
64,32,2,0.001,64,1000,0.04285359010100365,"[-0.9834384322166443, -0.9944177269935608, -0.9919416904449463, -36.03110885620117, 0.00840781256556511, -0.06265480816364288, -0.7135277986526489, -0.9978206157684326]","[0.4513322114944458, 0.4669666588306427, 0.4605880379676819, 1.087554931640625, 0.4677553176879883, 0.22381620109081268, 0.35244572162628174, 0.46518179774284363]","[0.06808885186910629, 0.11087717115879059, 0.017093395814299583, 0.06309650838375092, 0.009898696094751358, 0.028175238519906998, 0.045594122260808945, 4.749715571961133e-06]"
64,32,2,0.001,128,1000,0.07505146414041519,"[-0.984453022480011, -0.9907987713813782, -0.9982554912567139, -35.74266052246094, -0.00023683455947320908, -0.05097373202443123, -0.7690976858139038, -1.000813603401184]","[0.45275774598121643, 0.4637340307235718, 0.459347665309906, 1.061018705368042, 0.4665905237197876, 0.21307314932346344, 0.32341936230659485, 0.4597860872745514]","[0.06861937046051025, 0.1133003681898117, 0.018784213811159134, 0.29120972752571106, 0.011693574488162994, 0.024390235543251038, 0.07241356372833252, 6.619504802074516e-07]"
64,32,2,0.001,256,1000,0.07905839383602142,"[-0.9846387505531311, -0.9889952540397644, -0.9967645406723022, -35.69736862182617, 0.005479821935296059, -0.05601774528622627, -0.7285113334655762, -1.0035938024520874]","[0.44948676228523254, 0.4641634225845337, 0.45784279704093933, 1.0421738624572754, 0.4659371078014374, 0.23816627264022827, 0.3360491394996643, 0.4594798982143402]","[0.06871671229600906, 0.11451774835586548, 0.018377751111984253, 0.34214359521865845, 0.010489893145859241, 0.025991162285208702, 0.052217431366443634, 1.2915415936731733e-05]"
128,16,1,0.0001,64,1000,0.03695274516940117,"[-0.9956597685813904, -0.9946341514587402, -1.0037379264831543, -36.3251838684082, 0.0008558335830457509, -0.01833040826022625, -0.7477450966835022, -1.0045392513275146]","[0.4677042067050934, 0.47264763712882996, 0.4687752425670624, 1.1845518350601196, 0.45958012342453003, 0.4517512917518616, 0.34353452920913696, 0.4540514349937439]","[0.07461624592542648, 0.11073309183120728, 0.020317068323493004, 0.0018391082994639874, 0.011458453722298145, 0.015259762294590473, 0.0613776333630085, 2.060480255750008e-05]"
128,16,1,0.0001,128,1000,0.04390222951769829,"[-1.0091216564178467, -0.997342050075531, -0.9924039840698242, -36.04133224487305, -0.0013248153263702989, -0.01049751229584217, -0.7437013387680054, -1.0119097232818604]","[0.46540021896362305, 0.47254759073257446, 0.4706193804740906, 1.14822518825531, 0.46214166283607483, 0.4549098014831543, 0.3433840572834015, 0.45929789543151855]","[0.08215195685625076, 0.10893823206424713, 0.017214491963386536, 0.05806499719619751, 0.01193006057292223, 0.013385914266109467, 0.059390343725681305, 0.00014184150495566428]"
128,16,1,0.0001,256,1000,0.039784085005521774,"[-0.9980734586715698, -0.9957050085067749, -1.00041925907135, -36.09800720214844, 0.00880361907184124, -0.007956226356327534, -0.736972451210022, -1.0135843753814697]","[0.46348491311073303, 0.4703807234764099, 0.46585628390312195, 1.1134227514266968, 0.4650491774082184, 0.45463600754737854, 0.34424272179603577, 0.45745593309402466]","[0.07594071328639984, 0.11002154648303986, 0.019382009282708168, 0.033963482826948166, 0.009820092469453812, 0.012804332189261913, 0.056155942380428314, 0.00018453525262884796]"
128,16,1,0.0005,64,1000,0.059851303696632385,"[-0.9929323196411133, -1.0152618885040283, -1.0402077436447144, -35.842899322509766, -0.0017633511452004313, -0.020880665630102158, -0.7337853312492371, -1.0235114097595215]","[0.4586683213710785, 0.4732227623462677, 0.46232137084007263, 1.1974735260009766, 0.45726731419563293, 0.45674073696136475, 0.3425558805465698, 0.4549618363380432]","[0.07313362509012222, 0.09743018448352814, 0.032043781131505966, 0.193072110414505, 0.012026051059365273, 0.015896333381533623, 0.05465558171272278, 0.0005527863977476954]"
128,16,1,0.0005,128,1000,0.0449504591524601,"[-0.9888861775398254, -1.009106993675232, -1.0159157514572144, -36.00144958496094, 0.00853043980896473, -0.017240650951862335, -0.7441193461418152, -1.0076172351837158]","[0.46094533801078796, 0.47215789556503296, 0.46606314182281494, 1.2231653928756714, 0.46024590730667114, 0.45540541410446167, 0.34423336386680603, 0.45641714334487915]","[0.07096157968044281, 0.10131041705608368, 0.02393697202205658, 0.07887642085552216, 0.009874310344457626, 0.014991712756454945, 0.059594254940748215, 5.802227315143682e-05]"
128,16,1,0.0005,256,1000,0.03669428452849388,"[-1.0013495683670044, -0.992195725440979, -0.9924188852310181, -36.249794006347656, 0.002259233733639121, -0.0234000775963068, -0.7387189865112305, -1.0218095779418945]","[0.4616553485393524, 0.4756440222263336, 0.47007471323013306, 1.2375820875167847, 0.45813217759132385, 0.4555504024028778, 0.34192249178886414, 0.452997624874115]","[0.07775706797838211, 0.11236188560724258, 0.01721840165555477, 0.0010565773118287325, 0.011159972287714481, 0.016537979245185852, 0.05698675289750099, 0.0004756576963700354]"
128,16,1,0.001,64,1000,0.03709040954709053,"[-1.013071894645691, -1.002516746520996, -1.0103392601013184, -36.26371383666992, -0.0037302232813090086, -0.004712981171905994, -0.7430896759033203, -1.0227916240692139]","[0.46076706051826477, 0.472316712141037, 0.4670545160770416, 1.197379231452942, 0.4686005711555481, 0.4580763578414917, 0.34599483013153076, 0.4611814022064209]","[0.08443201333284378, 0.10554911196231842, 0.022242525592446327, 0.0003454098477959633, 0.012461306527256966, 0.012080864049494267, 0.05909258872270584, 0.0005194581463001668]"
128,16,1,0.001,128,1000,0.04127104580402374,"[-1.0137901306152344, -1.013502836227417, -1.0126501321792603, -36.082923889160156, 0.009132849983870983, -0.01515998039394617, -0.7442066669464111, -1.0148688554763794]","[0.46303534507751465, 0.473201721906662, 0.4651396572589874, 1.2015079259872437, 0.4676876366138458, 0.45791468024253845, 0.3457861542701721, 0.4591129720211029]","[0.08484992384910583, 0.09853141009807587, 0.022937150672078133, 0.03975045308470726, 0.009754951111972332, 0.014486524276435375, 0.05963689461350441, 0.00022108286793809384]"
128,16,1,0.001,256,1000,0.03900115191936493,"[-1.0079461336135864, -0.9982301592826843, -0.9954907298088074, -36.12565994262695, 0.003153006313368678, 0.005928126163780689, -0.7421759963035583, -1.0114493370056152]","[0.457089900970459, 0.47206440567970276, 0.46451330184936523, 1.1566307544708252, 0.46312451362609863, 0.45676401257514954, 0.3448672592639923, 0.4549526870250702]","[0.08147948235273361, 0.10835276544094086, 0.018034007400274277, 0.024535806849598885, 0.010971933603286743, 0.009854904375970364, 0.0586492121219635, 0.00013108731945976615]"
128,16,2,0.0001,64,1000,0.21411961317062378,"[-1.003066062927246, -1.015819787979126, -1.0072516202926636, -35.08537673950195, 0.0001249439228558913, -0.013781774789094925, -0.7390461564064026, -1.0169700384140015]","[0.46867048740386963, 0.46963298320770264, 0.4638335704803467, 7.005720138549805, 0.4710191488265991, 0.4653126001358032, 0.34630218148231506, 0.46108800172805786]","[0.07871729880571365, 0.0970822125673294, 0.02133108302950859, 1.432623028755188, 0.011615462601184845, 0.014156663790345192, 0.057143066078424454, 0.0002879821986425668]"
128,16,2,0.0001,128,1000,0.20464394986629486,"[-1.0075401067733765, -1.0140223503112793, -1.0075408220291138, -35.11892318725586, 0.0004804908239748329, -0.011353214271366596, -0.7397884130477905, -1.014735221862793]","[0.4669675827026367, 0.47129422426223755, 0.46944937109947205, 6.9995245933532715, 0.4676295220851898, 0.4650816023349762, 0.34671133756637573, 0.46181389689445496]","[0.08124784380197525, 0.09820552915334702, 0.021415643393993378, 1.3534433841705322, 0.01153895165771246, 0.013584651984274387, 0.05749848484992981, 0.0002171267697121948]"
128,16,2,0.0001,256,1000,0.20722295343875885,"[-1.0008503198623657, -1.015879511833191, -0.9995160698890686, -35.107704162597656, 0.0009352871566079557, -0.01707218401134014, -0.7406937479972839, -1.0113914012908936]","[0.46666213870048523, 0.4693751037120819, 0.46939048171043396, 7.008439540863037, 0.4684368669986725, 0.46433475613594055, 0.34810611605644226, 0.4612247347831726]","[0.07747888565063477, 0.09704499691724777, 0.019131341949105263, 1.3796731233596802, 0.01144145056605339, 0.01495048776268959, 0.05793347954750061, 0.00012976402649655938]"
128,16,2,0.0005,64,1000,0.052725888788700104,"[-1.0392951965332031, -1.0259531736373901, -0.9872463345527649, -35.93657684326172, 0.003177961800247431, -0.06915082037448883, -0.7277852892875671, -1.0437626838684082]","[0.4701833128929138, 0.46741268038749695, 0.4672350287437439, 1.0581063032150269, 0.45408087968826294, 0.21885046362876892, 0.3223799765110016, 0.4397580921649933]","[0.10035917907953262, 0.09087017178535461, 0.015887685120105743, 0.11952383816242218, 0.010966705158352852, 0.030398210510611534, 0.05188613757491112, 0.0019151725573465228]"
128,16,2,0.0005,128,1000,0.037934690713882446,"[-1.0437344312667847, -1.0218106508255005, -0.9697771668434143, -36.228633880615234, 0.011500824242830276, -0.0715542659163475, -0.7233296632766724, -1.0426756143569946]","[0.47075074911117554, 0.4680122435092926, 0.4828817546367645, 1.0035629272460938, 0.4533320963382721, 0.21501347422599792, 0.32299235463142395, 0.43970850110054016]","[0.10319153964519501, 0.09338483214378357, 0.011789006181061268, 0.0028799495194107294, 0.009292800910770893, 0.031242070719599724, 0.0498761385679245, 0.0018212080467492342]"
128,16,2,0.0005,256,1000,0.04370548203587532,"[-1.0395673513412476, -1.024069905281067, -0.9656674861907959, -36.0525016784668, 0.011791731230914593, -0.06311390548944473, -0.7305017709732056, -1.0518196821212769]","[0.4684046506881714, 0.46698781847953796, 0.5134156346321106, 0.9282811880111694, 0.44011783599853516, 0.2153046429157257, 0.3211093544960022, 0.4347784221172333]","[0.1005316898226738, 0.09200912714004517, 0.01091346051543951, 0.052806828171014786, 0.009236800484359264, 0.028329571709036827, 0.053131066262722015, 0.0026852793525904417]"
