hidden_size,output_size,num_layers,learning_rate,batch_size,num_simulations,mse,posterior_mean,posterior_std,squared_errors
64,16,1,0.0001,64,10000,0.04840230941772461,"[-0.9816678166389465, -1.005296230316162, -0.9546841382980347, -36.6621208190918, -0.030134541913866997, 0.04398147389292717, -0.6407710909843445, -0.8562011122703552]","[0.4648604393005371, 0.46849411725997925, 0.4667700529098511, 1.0784986019134521, 0.5253076553344727, 0.10756322741508484, 0.2832699716091156, 0.4118496775627136]","[0.06716794520616531, 0.1037508174777031, 0.00873928889632225, 0.1442645788192749, 0.019053533673286438, 0.0037477079313248396, 0.019816499203443527, 0.020678119733929634]"
64,16,1,0.0001,128,10000,0.04611753672361374,"[-0.9706500172615051, -0.9893239736557007, -0.985093891620636, -36.64578628540039, -0.007383436895906925, 0.05328638106584549, -0.6146920323371887, -0.8717260360717773]","[0.4643039405345917, 0.46362027525901794, 0.4667145311832428, 1.0796147584915161, 0.527561604976654, 0.10681723803281784, 0.27888497710227966, 0.4221037030220032]","[0.061578419059515, 0.11429537832736969, 0.015349702909588814, 0.1321229785680771, 0.013290271162986755, 0.0026950237806886435, 0.01315426267683506, 0.016454210504889488]"
64,16,1,0.0001,256,10000,0.05028965696692467,"[-1.0019012689590454, -1.0117443799972534, -0.9997467398643494, -36.540645599365234, 0.0006598104955628514, -0.07507441937923431, -0.8076775074005127, -0.9967069029808044]","[0.469364732503891, 0.47126638889312744, 0.4690597951412201, 1.0990664958953857, 0.5194187760353088, 0.2168009877204895, 0.3455551266670227, 0.5038253664970398]","[0.07806505262851715, 0.0996384546160698, 0.019195206463336945, 0.06674294173717499, 0.011500459164381027, 0.03249887004494667, 0.09466544538736343, 1.084448831534246e-05]"
64,16,1,0.0005,64,10000,0.032513704150915146,"[-0.9795228838920593, -0.9830552935600281, -0.9845964312553406, -36.40081024169922, 0.004041873384267092, 0.05862345173954964, -0.6192934513092041, -0.8620970249176025]","[0.46411576867103577, 0.46987390518188477, 0.48516449332237244, 1.1107393503189087, 0.5369201302528381, 0.1123470813035965, 0.29709911346435547, 0.41810083389282227]","[0.06606075167655945, 0.11857325583696365, 0.01522668544203043, 0.01404490415006876, 0.0107865110039711, 0.002169374842196703, 0.01423092745244503, 0.019017230719327927]"
64,16,1,0.0005,128,10000,0.04392491281032562,"[-0.9815511107444763, -1.0031002759933472, -0.9584783315658569, -36.60245132446289, -0.0213168915361166, 0.047528162598609924, -0.6459435820579529, -0.8392567038536072]","[0.47162511944770813, 0.4699709117412567, 0.5287675261497498, 1.1725728511810303, 0.5327958464622498, 0.10444335639476776, 0.28817376494407654, 0.4179287254810333]","[0.06710746139287949, 0.10517029464244843, 0.00946307834237814, 0.10249748080968857, 0.016697006300091743, 0.0033260409254580736, 0.02129952982068062, 0.02583840675652027]"
64,16,1,0.0005,256,10000,0.0396299846470356,"[-0.9963504672050476, -0.9839619398117065, -0.99919193983078, -36.47542190551758, 0.003663400188088417, -0.013682463206350803, -0.7064093947410583, -0.9875600934028625]","[0.47055792808532715, 0.4691504240036011, 0.5161404013633728, 1.1706334352493286, 0.5381835103034973, 0.21164186298847198, 0.3458639085292816, 0.457472026348114]","[0.07499406486749649, 0.11794967949390411, 0.01904178224503994, 0.037296440452337265, 0.010865269228816032, 0.014133039861917496, 0.04260483756661415, 0.00015475128020625561]"
64,16,1,0.001,64,10000,0.03719579800963402,"[-0.9535600543022156, -0.9750111699104309, -0.9665379524230957, -36.54001998901367, 0.0017385793616995215, 0.07483009994029999, -0.5885760188102722, -0.8501824140548706]","[0.4716334939002991, 0.4759453535079956, 0.5487968325614929, 1.2187600135803223, 0.5544941425323486, 0.10832880437374115, 0.3065407872200012, 0.4644303619861603]","[0.05338873714208603, 0.12417786568403244, 0.011096089147031307, 0.06642008572816849, 0.011270247399806976, 0.0009223308297805488, 0.007845710963010788, 0.022445309907197952]"
64,16,1,0.001,128,10000,0.04358462616801262,"[-1.0005930662155151, -0.9905617237091064, -0.9810057878494263, -36.584144592285156, -0.017210494726896286, 0.08386033028364182, -0.5857287645339966, -0.829824686050415]","[0.46670687198638916, 0.47037115693092346, 0.5361654162406921, 1.2009377479553223, 0.5455441474914551, 0.10565290600061417, 0.3018653988838196, 0.4487311840057373]","[0.07733573764562607, 0.1134600043296814, 0.014353432692587376, 0.09111073613166809, 0.01565263606607914, 0.0004553814942482859, 0.0073494212701916695, 0.028959637507796288]"
64,16,1,0.001,256,10000,0.05981171131134033,"[-0.985584557056427, -1.0008795261383057, -0.948395848274231, -36.7086181640625, 0.00031579352798871696, -0.04817362129688263, -0.7791699767112732, -0.9832735657691956]","[0.47235751152038574, 0.46893349289894104, 0.4720627963542938, 1.0754061937332153, 0.5204089879989624, 0.21662215888500214, 0.3621126115322113, 0.45899999141693115]","[0.06921347230672836, 0.10661560297012329, 0.007603120524436235, 0.18174798786640167, 0.011574361473321915, 0.023523470386862755, 0.07793587446212769, 0.00027977360878139734]"
